number ;Samples_ID;Collection_month;Year_collection;Collection_date;Block_ID;Lake_ID;filter_pore_size;Bological_Replicates;UTC;Hour_Collection_start;Hour_Collection_end;L_F;L_M;L_SC;L_SL;L_tot_filtered;Treatment;Sampling_type;Pompe;expe;Comments_field;Transfer_date;Extraction_date
29;T5_0.45_orange_March22;March;2022;24.03.2022;B2;L5;0.45;orange ;summer;04:30:00;05:45:00;NA;NA;NA;NA;7,6;P;Daily;triple;JG_GL;test_water collection;;
30;T5_0.45_red_March22;March;2022;24.03.2022;B2;L5;0.45;red;summer;04:30:00;05:45:00;NA;NA;NA;NA;6,7;P;Daily;triple;JG_GL;test_water collection;;
31;T6_0.1_blue_March22;March;2022;24.03.2022;B2;L5;0.1;blue;summer;08:30:00;09:45:00;NA;NA;NA;NA;7,1;P;Daily;triple;JG_GL;test_water collection;;
32;T6_0.1_orange_March22;March;2022;24.03.2022;B2;L5;0.1;orange ;summer;08:30:00;09:45:00;NA;NA;NA;NA;7;P;Daily;triple;JG_GL;test_water collection;;
33;T6_0.1_red_March22;March;2022;24.03.2022;B2;L5;0.1;red;summer;08:30:00;09:45:00;NA;NA;NA;NA;7,3;P;Daily;triple;JG_GL;test_water collection;;
34;T6_0.45_blue_March22;March;2022;24.03.2022;B2;L5;0.45;blue;summer;08:30:00;09:45:00;NA;NA;NA;NA;7,1;P;Daily;triple;JG_GL;test_water collection;;
35;T6_0.45_orange_March22;March;2022;24.03.2022;B2;L5;0.45;orange ;summer;08:30:00;09:45:00;NA;NA;NA;NA;7;P;Daily;triple;JG_GL;test_water collection;;
36;T6_0.45_red_March22;March;2022;24.03.2022;B2;L5;0.45;red;summer;08:30:00;09:45:00;NA;NA;NA;NA;7,3;P;Daily;triple;JG_GL;test_water collection;;
37;ctrl_0.45_daily_March22;March;2022;24.03.2022;B2;L5;0.45;NA;summer;00:30:00;00:30:00;NA;NA;NA;NA;NA;ctrl_neg_field;Daily;NA;JG_GL;test_water collection;;
38;L1_0.1_April22;April22;2022;21.04.2022;B1;L1;0.1;NA;summer;13:35:00;14:15:00;1;1;1;1;4;N;Monthly;one;JG;;;
39;L1_0.45_April22;April22;2022;21.04.2022;B1;L1;0.45;NA;summer;13:35:00;14:15:00;1;1;1;1;4;N;Monthly;one;JG;;;
40;L2_0.1_April22;April22;2022;21.04.2022;B1;L2;0.1;NA;summer;14:40:00;15:20:00;1;1;0,5;0,5;3;none;Monthly;two;SP;;;
41;L2_0.45_April22;April22;2022;21.04.2022;B1;L2;0.45;NA;summer;14:40:00;15:20:00;1;1;0,5;0,5;3;none;Monthly;two;SP;;;
42;L3_0.1_April22;April22;2022;21.04.2022;B1;L3;0.1;NA;summer;13:35:00;14:15:00;1;1;0,5;0,5;3;NP;Monthly;three;BD;;;
43;L3_0.45_April22;April22;2022;21.04.2022;B1;L3;0.45;NA;summer;13:35:00;14:15:00;1;1;0,5;0,5;3;NP;Monthly;three;BD;;;
